version,version_slug,matrix_size,n_tests,mean_wall_s,median_wall_s,std_wall_s,min_wall_s,max_wall_s,mean_cpu_s,std_cpu_s,operations,gflops_wall,gflops_cpu,ci95_wall_s,python_mean_wall_s,python_std_wall_s,python_n_tests,speedup_vs_python,speedup_std,speedup_ci95,previous_mean_wall_s,speedup_vs_previous
Python,python,512,5,7.6501345999999995,7.670087,0.07688227695184353,7.559523,7.721842,7.649079,0.07668394908649388,268435456.0,0.03508898470884421,0.03509382711304197,0.06739028703148069,7.6501345999999995,0.07688227695184353,5,1.0,0.014212555001505667,0.012457853733989948,,
Python,python,1024,5,74.9237304,75.106546,0.4280688041253427,74.339428,75.320569,74.9139902,0.42661617275451086,2147483648.0,0.028662262764214953,0.028665989386852872,0.375218850467953,74.9237304,0.4280688041253427,5,1.0,0.008079959516042618,0.0070823967834604965,,
Python,python,2048,5,684.3921822,684.369546,0.05530926874136049,684.359525,684.490578,684.3145292,0.060413170585549444,17179869184.0,0.02510237496982326,0.025105223476818737,0.04848071159906262,684.3921822,0.05530926874136049,5,1.0,0.00011428990571974755,0.00010017951934590784,,
Python,python,4096,2,6358.5663605,6358.5663605,4.216496828098322,6355.584847,6361.547874,6354.3000295,2.4256018265334163,137438953472.0,0.021614770638517425,0.02162928297907498,5.843766459999788,6358.5663605,4.216496828098322,2,1.0,0.0009377942545418188,0.0012997165264188343,,
Python,python,8192,1,62428.148787,62428.148787,0.0,62428.148787,62428.148787,62404.48787,0.0,1099511627776.0,0.0176124336399506,0.017619111466253588,0.0,62428.148787,0.0,1,1.0,0.0,0.0,,
NumPy,numpy,512,5,0.0644992,0.06216,0.00560502334517886,0.059609,0.073156,0.0644126,0.005451366370003031,268435456.0,4.1618416352450875,4.16743705424094,0.004913019580394934,7.6501345999999995,0.07688227695184353,5,118.60820909406627,10.375828143089969,9.094814363915397,7.6501345999999995,118.60820909406627
NumPy,numpy,1024,5,0.507484,0.503286,0.019323145383192672,0.485944,0.535487,0.5072434,0.019094253855545144,2147483648.0,4.231628283847372,4.233635465734991,0.016937483713444574,74.9237304,0.4280688041253427,5,147.63762089051082,5.684436370433194,4.982628166119833,74.9237304,147.63762089051082
NumPy,numpy,2048,5,4.4033704,4.40797,0.035187480931433764,4.358368,4.442023,4.4029828,0.03527033424423424,17179869184.0,3.901527153836525,3.9018706100782405,0.0308431869333081,684.3921822,0.05530926874136049,5,155.42462251188317,1.242066897543152,1.0887196380794317,684.3921822,155.42462251188317
NumPy,numpy,4096,5,35.434793400000004,35.367984,0.14576811796239697,35.275319,35.592079,35.4302364,0.14463486141072504,137438953472.0,3.8786441315049407,3.879142998662013,0.12777138892072207,6358.5663605,4.216496828098322,2,179.44414939075105,0.7477086659269698,1.036271341336658,6358.5663605,179.44414939075105
NumPy,numpy,8192,5,280.8661432,280.881919,0.3888423150143306,280.298054,281.299764,280.8308598,0.3915597191740892,1099511627776.0,3.914717577736155,3.915209420214865,0.34083531676896867,62428.148787,0.0,1,222.27011086397115,0.30771962573393735,0.6031304664385172,62428.148787,222.27011086397115
C,c,512,5,0.3943282,0.394105,0.003037034688639572,0.389687,0.397546,0.39418000000000003,0.002882623457893878,268435456.0,0.6807412099870108,0.6809971485108325,0.0026620782774186124,7.6501345999999995,0.07688227695184353,5,19.400424823788914,0.24564032772916053,0.21531324056054996,0.0644992,0.16356730256674518
